ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38,npG,38
483,Ajer,DEF,4.4,BRE,2.80534193,2.831657719,2.831657719,,86.53571429,,2.842746489,,0.986842105,,2.80534193,,0.038117027
128,Zouma,DEF,5.4,WHU,2.770811709,2.812916972,2.812916972,,84.98571429,,2.830399057,,0.978947368,,2.770811709,,0.038928313
243,Konate,DEF,5.1,LIV,1.527711507,2.790869402,2.790869402,,33.15789474,,4.14664552,,0.368421053,,1.527711507,,0.029243824
414,Dawson,DEF,4.9,WHU,2.72977153,2.771876793,2.771876793,,84.98571429,,2.788476294,,0.978947368,,2.72977153,,0.067602578
477,Guehi,DEF,4.5,CRY,2.651870672,2.75713383,2.75713383,,82.35714286,,2.79919682,,0.947368421,,2.651870672,,0.042510122
220,Fofana,DEF,4.3,LEI,2.291739,2.712791632,2.712791632,,68.5,,2.902869401,,0.789473684,,2.291739,,0.029142452
162,Mitchell,DEF,4.5,CRY,2.480656483,2.691182799,2.691182799,,77.16666667,,2.772498422,,0.894736842,,2.480656483,,0.011668908
510,Dalot,DEF,4.2,MUN,2.178278895,2.651963105,2.651963105,,64.26190476,,2.854296483,,0.763157895,,2.178278895,,0.031043969
305,Schar,DEF,4.3,NEW,1.88256952,2.619411626,2.619411626,,55.5,,2.980735074,,0.631578947,,1.88256952,,0.049310667
61,Webster,DEF,4.3,BHA,2.02003286,2.598980228,2.598980228,,49.78571429,,2.84300921,,0.710526316,,2.02003286,,0.051042772
418,Coufal,DEF,4.7,WHU,2.057018587,2.583334377,2.583334377,,62.16666667,,2.791668083,,0.736842105,,2.057018587,,0.020515855
273,Maguire,DEF,5.4,MUN,1.987574824,2.566522192,2.566522192,,60.07142857,,2.79732753,,0.710526316,,1.987574824,,0.042735844
493,Clyne,DEF,4.3,CRY,2.378099262,2.535993999,2.535993999,,79.33333333,,2.581936341,,0.921052632,,2.378099262,,0.007117044
90,M Sorensen,DEF,4.3,BRE,2.397717475,2.450349054,2.450349054,,82.78571429,,2.46252065,,0.973684211,,2.397717475,,0.013455973
678,Trippier,DEF,4.9,NEW,1.37649415,2.429125729,2.429125729,,35.52631579,,2.905932094,,0.473684211,,1.37649415,,0.011347373
284,Lindelof,DEF,4.8,MUN,1.472548428,2.419916849,2.419916849,,46.35714286,,2.797842013,,0.526315789,,1.472548428,,0.011523259
190,Llorente,DEF,4.5,LEE,2.387114001,2.41342979,2.41342979,,85.64285714,,2.418942187,,0.986842105,,2.387114001,,0.057201674
103,K Long,DEF,4,BUR,1.145115404,2.408273298,2.408273298,,31.68421053,,3.108170381,,0.368421053,,1.145115404,,0.037634877
207,R Pereira,DEF,5.2,LEI,1.144929146,2.408087041,2.408087041,,27.63157895,,3.107664825,,0.368421053,,1.144929146,,0.053043806
303,Krafth,DEF,4.3,NEW,1.710761075,2.394971601,2.394971601,,54.69047619,,2.600356834,,0.657894737,,1.710761075,,0.01156144
299,Lascelles,DEF,4.4,NEW,1.382479009,2.382479009,2.382479009,,41.5,,2.764958019,,0.5,,1.382479009,,0.043135247
288,Wan-Bissaka,DEF,5.1,MUN,1.094382557,2.357540452,2.357540452,,32.42105263,,2.970466941,,0.368421053,,1.094382557,,0.013564192
